[0.181s] Invoking command in '/home/home/dcp_ws/build/robotiq_description': CMAKE_PREFIX_PATH=/home/home/dcp_ws/install/robotiq_description:/home/home/dcp_ws/install/isaacsim:/home/home/dcp_ws/install/fairino_rviz:/home/home/dcp_ws/install/fairino_action_manager:/home/home/dcp_ws/install/fairino_interfaces:/home/home/dcp_ws/install/fairino_description:/home/home/dcp_ws/install/dh_robotics_ag95_description:/home/home/dcp_ws/install/pak_hqp_controller:/home/home/dcp_ws/install/kimm_hqp_controller:/home/home/dcp_ws/install/kimm_trajectory_smoother:/home/home/dcp_ws/install/isaacsim_ros2:/home/home/kimm_ws/install/rb5_action_manager:/opt/ros/humble:/home/home/dcp_ws/install/kimm_qpoases:/home/home/gello_ws/install/franka_plugin:/home/home/gello_ws/install/franka_description:/home/home/gello_ws/install/dynamixel_sdk_examples:/home/home/gello_ws/install/dynamixel_sdk_custom_interfaces:/home/home/gello_ws/install/dynamixel:/home/home/gello_ws/install/dynamixel_sdk:/home/home/kimm_ws/install/rbpodo_bringup:/home/home/kimm_ws/install/rbpodo_hardware:/home/home/kimm_ws/install/rbpodo_msgs:/home/home/kimm_ws/install/rb3_730es_u_moveit_config:/home/home/kimm_ws/install/rbpodo_description:/home/home/kimm_ws/install/rb5_gui_manager:/home/home/kimm_ws/install/action_interface /usr/bin/cmake --build /home/home/dcp_ws/build/robotiq_description -- -j10 -l10
[0.254s] Invoked command in '/home/home/dcp_ws/build/robotiq_description' returned '0': CMAKE_PREFIX_PATH=/home/home/dcp_ws/install/robotiq_description:/home/home/dcp_ws/install/isaacsim:/home/home/dcp_ws/install/fairino_rviz:/home/home/dcp_ws/install/fairino_action_manager:/home/home/dcp_ws/install/fairino_interfaces:/home/home/dcp_ws/install/fairino_description:/home/home/dcp_ws/install/dh_robotics_ag95_description:/home/home/dcp_ws/install/pak_hqp_controller:/home/home/dcp_ws/install/kimm_hqp_controller:/home/home/dcp_ws/install/kimm_trajectory_smoother:/home/home/dcp_ws/install/isaacsim_ros2:/home/home/kimm_ws/install/rb5_action_manager:/opt/ros/humble:/home/home/dcp_ws/install/kimm_qpoases:/home/home/gello_ws/install/franka_plugin:/home/home/gello_ws/install/franka_description:/home/home/gello_ws/install/dynamixel_sdk_examples:/home/home/gello_ws/install/dynamixel_sdk_custom_interfaces:/home/home/gello_ws/install/dynamixel:/home/home/gello_ws/install/dynamixel_sdk:/home/home/kimm_ws/install/rbpodo_bringup:/home/home/kimm_ws/install/rbpodo_hardware:/home/home/kimm_ws/install/rbpodo_msgs:/home/home/kimm_ws/install/rb3_730es_u_moveit_config:/home/home/kimm_ws/install/rbpodo_description:/home/home/kimm_ws/install/rb5_gui_manager:/home/home/kimm_ws/install/action_interface /usr/bin/cmake --build /home/home/dcp_ws/build/robotiq_description -- -j10 -l10
[0.255s] Invoking command in '/home/home/dcp_ws/build/robotiq_description': CMAKE_PREFIX_PATH=/home/home/dcp_ws/install/robotiq_description:/home/home/dcp_ws/install/isaacsim:/home/home/dcp_ws/install/fairino_rviz:/home/home/dcp_ws/install/fairino_action_manager:/home/home/dcp_ws/install/fairino_interfaces:/home/home/dcp_ws/install/fairino_description:/home/home/dcp_ws/install/dh_robotics_ag95_description:/home/home/dcp_ws/install/pak_hqp_controller:/home/home/dcp_ws/install/kimm_hqp_controller:/home/home/dcp_ws/install/kimm_trajectory_smoother:/home/home/dcp_ws/install/isaacsim_ros2:/home/home/kimm_ws/install/rb5_action_manager:/opt/ros/humble:/home/home/dcp_ws/install/kimm_qpoases:/home/home/gello_ws/install/franka_plugin:/home/home/gello_ws/install/franka_description:/home/home/gello_ws/install/dynamixel_sdk_examples:/home/home/gello_ws/install/dynamixel_sdk_custom_interfaces:/home/home/gello_ws/install/dynamixel:/home/home/gello_ws/install/dynamixel_sdk:/home/home/kimm_ws/install/rbpodo_bringup:/home/home/kimm_ws/install/rbpodo_hardware:/home/home/kimm_ws/install/rbpodo_msgs:/home/home/kimm_ws/install/rb3_730es_u_moveit_config:/home/home/kimm_ws/install/rbpodo_description:/home/home/kimm_ws/install/rb5_gui_manager:/home/home/kimm_ws/install/action_interface /usr/bin/cmake --install /home/home/dcp_ws/build/robotiq_description
[0.303s] -- Install configuration: ""
[0.305s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/visual/2f_140/robotiq_2f_140_inner_knuckle.stl
[0.305s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/visual/2f_140/robotiq_2f_140_outer_finger.stl
[0.305s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/visual/2f_140/robotiq_2f_140_outer_knuckle.stl
[0.305s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/visual/2f_85/left_finger.dae
[0.305s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/visual/2f_85/left_finger_tip.dae
[0.305s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/visual/2f_85/left_inner_knuckle.dae
[0.305s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/visual/2f_85/left_knuckle.dae
[0.305s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/visual/2f_85/right_finger.dae
[0.305s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/visual/2f_85/right_finger_tip.dae
[0.305s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/visual/2f_85/right_inner_knuckle.dae
[0.305s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/visual/2f_85/right_knuckle.dae
[0.305s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/visual/2f_85/robotiq_base.dae
[0.305s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/visual/2f_85/ur_to_robotiq_adapter.dae
[0.306s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/rviz/view_urdf.rviz
[0.306s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/2f_140.ros2_control.xacro
[0.306s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/2f_85.ros2_control.xacro
[0.306s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/fairino5_v6_2f_140.urdf
[0.306s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/fairino5_v6_2f_140/configuration/fairino5_v6_2f_140_base.usd
[0.306s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/fairino5_v6_2f_140/configuration/fairino5_v6_2f_140_physics.usd
[0.306s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/fairino5_v6_2f_140/configuration/fairino5_v6_2f_140_robot.usd
[0.306s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/fairino5_v6_2f_140/configuration/fairino5_v6_2f_140_sensor.usd
[0.306s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/fairino5_v6_2f_140/fairino5_v6_2f_140.usd
[0.306s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/fr5_2f_140/configuration/fr5_2f_140_base.usd
[0.306s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/fr5_2f_140/configuration/fr5_2f_140_physics.usd
[0.306s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/fr5_2f_140/configuration/fr5_2f_140_robot.usd
[0.306s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/fr5_2f_140/configuration/fr5_2f_140_sensor.usd
[0.307s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/fr5_2f_140/fr5_2f_140.usd
[0.307s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/robotiq_2f_140.xacro
[0.307s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/robotiq_2f_140_gripper.urdf
[0.307s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/robotiq_2f_140_gripper.urdf.xacro
[0.307s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/robotiq_2f_140_gripper/configuration/robotiq_2f_140_gripper_base.usd
[0.307s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/robotiq_2f_140_gripper/configuration/robotiq_2f_140_gripper_physics.usd
[0.307s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/robotiq_2f_140_gripper/configuration/robotiq_2f_140_gripper_robot.usd
[0.307s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/robotiq_2f_140_gripper/configuration/robotiq_2f_140_gripper_sensor.usd
[0.307s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/robotiq_2f_140_gripper/robotiq_2f_140_gripper.usd
[0.307s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/robotiq_2f_140_macro.urdf.xacro
[0.307s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/robotiq_2f_85_gripper.urdf.xacro
[0.307s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/robotiq_2f_85_macro.urdf.xacro
[0.307s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/urdf/ur_to_robotiq_adapter.urdf.xacro
[0.307s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/ament_index/resource_index/package_run_dependencies/robotiq_description
[0.307s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/ament_index/resource_index/parent_prefix_path/robotiq_description
[0.308s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/environment/ament_prefix_path.sh
[0.308s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/environment/ament_prefix_path.dsv
[0.308s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/environment/path.sh
[0.308s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/environment/path.dsv
[0.308s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/local_setup.bash
[0.308s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/local_setup.sh
[0.308s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/local_setup.zsh
[0.308s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/local_setup.dsv
[0.308s] -- Symlinking: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/package.dsv
[0.308s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/ament_index/resource_index/packages/robotiq_description
[0.308s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/cmake/robotiq_descriptionConfig.cmake
[0.308s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/cmake/robotiq_descriptionConfig-version.cmake
[0.308s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/package.xml
[0.322s] Invoked command in '/home/home/dcp_ws/build/robotiq_description' returned '0': CMAKE_PREFIX_PATH=/home/home/dcp_ws/install/robotiq_description:/home/home/dcp_ws/install/isaacsim:/home/home/dcp_ws/install/fairino_rviz:/home/home/dcp_ws/install/fairino_action_manager:/home/home/dcp_ws/install/fairino_interfaces:/home/home/dcp_ws/install/fairino_description:/home/home/dcp_ws/install/dh_robotics_ag95_description:/home/home/dcp_ws/install/pak_hqp_controller:/home/home/dcp_ws/install/kimm_hqp_controller:/home/home/dcp_ws/install/kimm_trajectory_smoother:/home/home/dcp_ws/install/isaacsim_ros2:/home/home/kimm_ws/install/rb5_action_manager:/opt/ros/humble:/home/home/dcp_ws/install/kimm_qpoases:/home/home/gello_ws/install/franka_plugin:/home/home/gello_ws/install/franka_description:/home/home/gello_ws/install/dynamixel_sdk_examples:/home/home/gello_ws/install/dynamixel_sdk_custom_interfaces:/home/home/gello_ws/install/dynamixel:/home/home/gello_ws/install/dynamixel_sdk:/home/home/kimm_ws/install/rbpodo_bringup:/home/home/kimm_ws/install/rbpodo_hardware:/home/home/kimm_ws/install/rbpodo_msgs:/home/home/kimm_ws/install/rb3_730es_u_moveit_config:/home/home/kimm_ws/install/rbpodo_description:/home/home/kimm_ws/install/rb5_gui_manager:/home/home/kimm_ws/install/action_interface /usr/bin/cmake --install /home/home/dcp_ws/build/robotiq_description
